0	 Kullanıcı :00308 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:32:14
1	 Kullanıcı :00065 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:46:46
2	 Kullanıcı :00150 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:00
3	 Kullanıcı :00150 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:01
4	 Kullanıcı :00181 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:26
5	 Kullanıcı :00012 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:50:33
6	 Kullanıcı :00291 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:51:56
7	 Kullanıcı :00016 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:04:13
8	 Kullanıcı :00309 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:04:31
9	 Kullanıcı :00015 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:04:34
10	 Kullanıcı :00149 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:10:36
11	 Kullanıcı :00309 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:53:22
12	 Kullanıcı :00015 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:53:25
13	 Kullanıcı :00150 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:06:55
14	 Kullanıcı :00150 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:06:57
15	 Kullanıcı :00181 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:10:45
16	 Kullanıcı :00012 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:10:48
17	 Kullanıcı :00291 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:12:20
18	 Kullanıcı :00308 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:14:35
19	 Kullanıcı :00378 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:14:44
20	 Kullanıcı :00379 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:14:48
21	 Kullanıcı :00379 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:14:49
22	 Kullanıcı :00149 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:19:11
23	 Kullanıcı :00016 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:21:11
24	 Kullanıcı :00065 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:24:39
25	 Kullanıcı :00378 : 	 İşlem Tipi 0	26.05.2022 00:00:00	16:45:12
26	 Kullanıcı :00378 : 	 İşlem Tipi 0	26.05.2022 00:00:00	16:45:13
27	 Kullanıcı :00379 : 	 İşlem Tipi 0	26.05.2022 00:00:00	16:45:17
28	 Kullanıcı :00379 : 	 İşlem Tipi 0	26.05.2022 00:00:00	16:45:23
29	 Kullanıcı :00149 : 	 İşlem Tipi 0	26.05.2022 00:00:00	16:45:28
30	 Kullanıcı :00150 : 	 İşlem Tipi 0	26.05.2022 00:00:00	16:45:40
31	 Kullanıcı :00019 : 	 İşlem Tipi 0	26.05.2022 00:00:00	16:46:43
32	 Kullanıcı :00181 : 	 İşlem Tipi 0	26.05.2022 00:00:00	16:48:39
33	 Kullanıcı :00012 : 	 İşlem Tipi 0	26.05.2022 00:00:00	16:48:54
34	 Kullanıcı :00016 : 	 İşlem Tipi 0	26.05.2022 00:00:00	16:49:29
35	 Kullanıcı :00291 : 	 İşlem Tipi 0	26.05.2022 00:00:00	16:49:47
