1	Terminal :	10.80.15.220 	 Kullanıcı :00133 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:09:48
2	Terminal :	10.80.15.220 	 Kullanıcı :00229 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:20:02
3	Terminal :	10.80.15.220 	 Kullanıcı :00077 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:30:32
4	Terminal :	10.80.15.220 	 Kullanıcı :00404 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:31:34
5	Terminal :	10.80.15.220 	 Kullanıcı :00396 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:32:28
6	Terminal :	10.80.15.220 	 Kullanıcı :00257 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:35:35
7	Terminal :	10.80.15.220 	 Kullanıcı :00134 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:37:02
8	Terminal :	10.80.15.220 	 Kullanıcı :00239 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:39:49
9	Terminal :	10.80.15.220 	 Kullanıcı :00325 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:41:43
10	Terminal :	10.80.15.220 	 Kullanıcı :00083 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:41:46
11	Terminal :	10.80.15.220 	 Kullanıcı :00042 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:41:50
12	Terminal :	10.80.15.220 	 Kullanıcı :00314 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:41:51
13	Terminal :	10.80.15.220 	 Kullanıcı :00403 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:41:55
14	Terminal :	10.80.15.220 	 Kullanıcı :00245 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:42:04
15	Terminal :	10.80.15.220 	 Kullanıcı :00059 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:43:27
16	Terminal :	10.80.15.220 	 Kullanıcı :00231 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:43:30
17	Terminal :	10.80.15.220 	 Kullanıcı :00304 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:44:01
18	Terminal :	10.80.15.220 	 Kullanıcı :00003 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:44:07
19	Terminal :	10.80.15.220 	 Kullanıcı :00003 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:44:11
20	Terminal :	10.80.15.220 	 Kullanıcı :00062 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:45:00
21	Terminal :	10.80.15.220 	 Kullanıcı :00039 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:45:04
22	Terminal :	10.80.15.220 	 Kullanıcı :00009 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:45:13
23	Terminal :	10.80.15.220 	 Kullanıcı :00222 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:45:16
24	Terminal :	10.80.15.220 	 Kullanıcı :00141 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:45:22
25	Terminal :	10.80.15.220 	 Kullanıcı :00357 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:45:25
26	Terminal :	10.80.15.220 	 Kullanıcı :00199 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:45:30
27	Terminal :	10.80.15.220 	 Kullanıcı :00241 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:45:35
28	Terminal :	10.80.15.220 	 Kullanıcı :00388 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:45:42
29	Terminal :	10.80.15.220 	 Kullanıcı :00202 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:45:47
30	Terminal :	10.80.15.220 	 Kullanıcı :00043 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:45:51
31	Terminal :	10.80.15.220 	 Kullanıcı :00085 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:45:56
